kod_pemaju,found,nama_pemaju,emel,telefon,alamat_perniagaan,alamat_daftar,status_pemaju,bilangan_projek,probe_code,projek_nama,negeri,daerah,status_projek
85,yes,ORIENTAL REALTY SDN. BERHAD,"lfong@bsg.com.my, keteh@bsg.com.my",04-2637888,"25-b, Lebuh Farquhar,, 10200, Daerah Timor Laut, Pulau Pinang","Suite 2-1, Tingkat 2, Menara Penang Garden, 42a Jalan Sultan Ahmad Shah, 10050, Daerah Timor Laut, Pulau Pinang",Aktif,6,85-1,Taman Saw Kit,Pulau Pinang,Daerah Barat Daya,
86,no,,,,,,,,,,,,
87,no,,,,,,,,,,,,
88,no,,,,,,,,,,,,
89,no,,,,,,,,,,,,
90,yes,TAN CHEE HOE & SONS SDN. BHD.,-,,-,-,Aktif,1,90-1,Taman Seremban Jaya,-,-,
91,no,,,,,,,,,,,,
92,no,,,,,,,,,,,,
93,no,,,,,,,,,,,,
94,no,,,,,,,,,,,,
95,no,,,,,,,,,,,,
96,no,,,,,,,,,,,,
97,no,,,,,,,,,,,,
98,no,,,,,,,,,,,,
99,no,,,,,,,,,,,,
100,no,,,,,,,,,,,,
101,no,,,,,,,,,,,,
102,no,,,,,,,,,,,,
103,no,,,,,,,,,,,,
104,no,,,,,,,,,,,,
105,no,,,,,,,,,,,,
106,no,,,,,,,,,,,,
107,no,,,,,,,,,,,,
108,no,,,,,,,,,,,,
109,no,,,,,,,,,,,,
110,no,,,,,,,,,,,,
111,no,,,,,,,,,,,,
112,no,,,,,,,,,,,,
113,yes,HOMEMAKERS SDN. BHD ,-,,-,-,Aktif,3,113-1,Ppp/l,-,-,
114,no,,,,,,,,,,,,
115,no,,,,,,,,,,,,
116,no,,,,,,,,,,,,
117,no,,,,,,,,,,,,
118,no,,,,,,,,,,,,
119,no,,,,,,,,,,,,
120,yes,JAYA HOUSING CORPORATION SDN. BHD.,-,,-,-,Aktif,2,120-1,Taman Selayang Jaya,-,-,
121,no,,,,,,,,,,,,
122,yes,HUAT COMPANY SDN. BHD.,-,,-,-,Aktif,2,122-1,Taman Berjaya Nibong Tebal,-,-,
123,no,,,,,,,,,,,,
124,no,,,,,,,,,,,,
125,no,,,,,,,,,,,,
126,no,,,,,,,,,,,,
127,no,,,,,,,,,,,,
128,no,,,,,,,,,,,,
129,no,,,,,,,,,,,,
130,no,,,,,,,,,,,,
131,yes,TANG KWOR HAM REALTY SDN. BHD.,-,06-2824648,"177-a, Jalan Tun Ali(industrial Road), 75300, Melaka Tengah, Melaka","177-a, Jalan Tun Ali(industrial Road), 75300, Melaka Tengah, Melaka",Aktif,8,131-1,Taman Sri Emas F-4 (p1),-,-,
132,yes,LIP SIN COMPANY SDN BHD,-,,"2-2-9 & 2-2-10, Bangunan Lip Sin, Lebuh Pekaka Satu, Sungai Dua, 11700, Daerah Barat Daya, Pulau Pinang","2-2-9 & 2-2-10 Bangunan Lip Sin, Lebuh Pekaka 1, Sungai Dua, 11700, Daerah Timor Laut, Pulau Pinang",Aktif,23,132-1,Taman Sri Tenang,-,-,
133,no,,,,,,,,,,,,
134,no,,,,,,,,,,,,
135,no,,,,,,,,,,,,
136,no,,,,,,,,,,,,
137,no,,,,,,,,,,,,
138,yes,SYARIKAT CHIT LOONG REALTY SDN. BHD.,-,,-,-,Aktif,4,138-1,Taman Bukit Bidor,-,-,
139,no,,,,,,,,,,,,
140,no,,,,,,,,,,,,
141,no,,,,,,,,,,,,
142,no,,,,,,,,,,,,
143,no,,,,,,,,,,,,
144,no,,,,,,,,,,,,
145,no,,,,,,,,,,,,
146,no,,,,,,,,,,,,
147,no,,,,,,,,,,,,
148,no,,,,,,,,,,,,
149,no,,,,,,,,,,,,
150,no,,,,,,,,,,,,
151,yes,PENANG LAND DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,4,151-1,Taman Lembah Sungei,-,-,
152,yes,KUANTAN REALTY & ESTATE AGENCY SDN. BHD.,-,,-,-,Aktif,3,152-1,Seri Prima,-,-,
153,no,,,,,,,,,,,,
154,no,,,,,,,,,,,,
155,no,,,,,,,,,,,,
156,no,,,,,,,,,,,,
157,no,,,,,,,,,,,,
158,yes,CHONG COMPANY SDN BERHAD,-,,"54, Jalan Dato Keramat, 10150, Daerah Timor Laut, Pulau Pinang","54, Jalan Dato Keramat, 10150, Daerah Timor Laut, Pulau Pinang",Aktif,6,158-1,Pinang Court,-,-,
159,no,,,,,,,,,,,,
160,no,,,,,,,,,,,,
161,no,,,,,,,,,,,,
162,no,,,,,,,,,,,,
163,yes,HOOVER REALTY C0. SDN. BHD.,-,,-,-,Aktif,3,163-1,Taman Wah Keong,-,-,
164,no,,,,,,,,,,,,
165,no,,,,,,,,,,,,
166,no,,,,,,,,,,,,
167,no,,,,,,,,,,,,
168,no,,,,,,,,,,,,
169,no,,,,,,,,,,,,
170,no,,,,,,,,,,,,
171,no,,,,,,,,,,,,
172,no,,,,,,,,,,,,
173,no,,,,,,,,,,,,
174,no,,,,,,,,,,,,
175,no,,,,,,,,,,,,
176,no,,,,,,,,,,,,
177,no,,,,,,,,,,,,
178,no,,,,,,,,,,,,
179,no,,,,,,,,,,,,
180,no,,,,,,,,,,,,
181,no,,,,,,,,,,,,
182,no,,,,,,,,,,,,
183,no,,,,,,,,,,,,
184,no,,,,,,,,,,,,
185,no,,,,,,,,,,,,
186,no,,,,,,,,,,,,
187,no,,,,,,,,,,,,
188,no,,,,,,,,,,,,
189,no,,,,,,,,,,,,
190,no,,,,,,,,,,,,
191,no,,,,,,,,,,,,
192,no,,,,,,,,,,,,
193,yes,SIM NAM HOUSING DEVELOPMENT CO. SDN. BHD,simnam.co@gmail.com,03-79820899,"23-29, Jalan 2/128, Taman Gembira Off Jalan Kuchai Lama,, 58200, Kuala Lumpur, Wp Kuala Lumpur","23-29, Jalan 2/128, Taman Gembira Off Jalan Kuchai Lama,, 58200, Kuala Lumpur, Wp Kuala Lumpur",Aktif,7,193-1,Taman Gembira,-,-,
194,no,,,,,,,,,,,,
195,no,,,,,,,,,,,,
196,no,,,,,,,,,,,,
197,no,,,,,,,,,,,,
198,no,,,,,,,,,,,,
199,yes,UNITED PROPERTIES CO-OPERATION SDN. BHD,astbast@tm.net.my,06-7635203,"Lot 5994 Taman Ast, 70200, Seremban, Negeri Sembilan","Lot 5994 Taman Ast, 70200, Seremban, Negeri Sembilan",Aktif,6,199-1,Taman Permai 3,Negeri Sembilan,Seremban,
200,no,,,,,,,,,,,,
201,no,,,,,,,,,,,,
202,yes,LEE MAN CONSTRUCTION COMPANY SDN. BHD.,-,,-,-,Aktif,2,202-1,Taman Seri Berembang,-,-,
203,no,,,,,,,,,,,,
204,no,,,,,,,,,,,,
205,no,,,,,,,,,,,,
206,no,,,,,,,,,,,,
207,yes,ONG CONSTRUCTION SDN. BHD.,-,,-,-,Aktif,1,207-1,Taman Seri Intan,-,-,
208,no,,,,,,,,,,,,
209,no,,,,,,,,,,,,
210,no,,,,,,,,,,,,
211,no,,,,,,,,,,,,
212,no,,,,,,,,,,,,
213,yes,SIN HIN DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,2,213-1,Taman Jaya,-,-,
214,no,,,,,,,,,,,,
215,no,,,,,,,,,,,,
216,no,,,,,,,,,,,,
217,no,,,,,,,,,,,,
218,no,,,,,,,,,,,,
219,no,,,,,,,,,,,,
220,no,,,,,,,,,,,,
221,no,,,,,,,,,,,,
222,no,,,,,,,,,,,,
223,no,,,,,,,,,,,,
224,no,,,,,,,,,,,,
225,no,,,,,,,,,,,,
226,no,,,,,,,,,,,,
227,no,,,,,,,,,,,,
228,no,,,,,,,,,,,,
229,no,,,,,,,,,,,,
230,no,,,,,,,,,,,,
231,no,,,,,,,,,,,,
232,no,,,,,,,,,,,,
233,no,,,,,,,,,,,,
234,no,,,,,,,,,,,,
235,no,,,,,,,,,,,,
236,no,,,,,,,,,,,,
237,yes,LIM CHOON HING & SONS SDN. BHD ,-,,-,-,Aktif,11,237-1,Taman Leboh Sepat 3,-,-,
238,no,,,,,,,,,,,,
239,no,,,,,,,,,,,,
240,yes,MALAYAN BUILDING DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,1,240-1,Desa Tambun Ipoh,-,-,
241,no,,,,,,,,,,,,
242,no,,,,,,,,,,,,
243,yes,RUBY DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,1,243-1,Pangsapuri Delima,-,-,
244,no,,,,,,,,,,,,
245,no,,,,,,,,,,,,
246,yes,KIMSAR SDN. BHD.,-,,-,-,Aktif,2,246-1,Kimsar Apartments,-,-,
247,yes,GOLDEN CITY PROPERTIES SDN. BHD,goldcity@tm.net.com,03-2145 6633,"Level 5, Wisma Golden City, No. 75, Jln Bukit Bintang, 55100, Kuala Lumpur, Wp Kuala Lumpur","No.90, Jalan Alor, 55100, Kuala Lumpur, Wp Kuala Lumpur",Aktif,3,247-1,Wisma Sayor,-,-,
248,no,,,,,,,,,,,,
249,no,,,,,,,,,,,,
250,no,,,,,,,,,,,,
251,no,,,,,,,,,,,,
252,yes,PERAK REAL ESTATES SDN. BHD,-,,-,-,Aktif,6,252-1,Taman Perak,-,-,
253,no,,,,,,,,,,,,
254,no,,,,,,,,,,,,
255,no,,,,,,,,,,,,
256,no,,,,,,,,,,,,
257,no,,,,,,,,,,,,
258,no,,,,,,,,,,,,
259,no,,,,,,,,,,,,
260,yes,CHIN PEK SOO & SONS SDN. BHD.,cpshldgs@streamyx.com,05-2543117,"87 Jalan Sultan Yussuf, 30000, Kinta, Perak","55 Medan Ipoh 1a, Medan Ipoh Bistari, 31400, Kinta, Perak",Aktif,6,260-1,Taman Grik,-,-,
261,no,,,,,,,,,,,,
262,no,,,,,,,,,,,,
263,yes,SUNRISE BERHAD,-,,"Level U2 Block C5 , Solaris Dutamas , No 1 Jalan Dutamas , 50480, Kuala Lumpur, Wp Kuala Lumpur","Level U6, Block C5,, Solaris Dutamas,, No. 1, Jalan Dutamas 1,, 50480, Kuala Lumpur, Wp Kuala Lumpur",Aktif,16,263-1,O.g. Heights,-,-,
264,no,,,,,,,,,,,,
265,yes,KINTA PROPERTIES SDN.BERHAD.,faraadisno@kintaproperties.com,052921333,"2, Sri Klebang A/12, Bandar Baru Sri Klebang, 31200, Kinta, Perak","No. 1 Jalan Lasam, 30350, Kinta, Perak",Aktif,26,265-1,Taman Pertama Fasa 2d,-,-,
266,no,,,,,,,,,,,,
267,no,,,,,,,,,,,,
268,no,,,,,,,,,,,,
269,no,,,,,,,,,,,,
270,no,,,,,,,,,,,,
271,no,,,,,,,,,,,,
272,no,,,,,,,,,,,,
273,no,,,,,,,,,,,,
274,no,,,,,,,,,,,,
275,no,,,,,,,,,,,,
276,no,,,,,,,,,,,,
277,no,,,,,,,,,,,,
278,no,,,,,,,,,,,,
279,no,,,,,,,,,,,,
280,no,,,,,,,,,,,,
281,no,,,,,,,,,,,,
282,no,,,,,,,,,,,,
283,yes,ENG LIAN ENTERPRISE SDN. BHD.,-,,-,-,Aktif,2,283-1,Bangsar Baru Fasa 6a,-,-,
284,no,,,,,,,,,,,,
285,no,,,,,,,,,,,,
286,no,,,,,,,,,,,,
287,no,,,,,,,,,,,,
288,no,,,,,,,,,,,,
289,yes,HOCK BAN SEONG & CO. SDN. BHD.,-,03-51624458,"19gf, Lorong Temenggung 15a, Off Jalan Sg Jati19gf, 41200, Klang, Selangor","Room 101, 2nd Floor Wisma Hup Tai, 1 Lorong Raja Bot,, 41400, Klang, Selangor",Aktif,3,289-1,Lot 10429,-,-,
290,no,,,,,,,,,,,,
291,no,,,,,,,,,,,,
292,yes,SAIWAI LAND SDN. BHD.,angie@lawassociate.com,03-21666122,"B-5-8 Megan Avenue 1, Jalan Tun Razak, 50400, Kuala Lumpur, Wp Kuala Lumpur","B-5-7 Suite 1, 5th Floor, Megan Avenue I, 50400, Kuala Lumpur, Wp Kuala Lumpur",Aktif,4,292-1,Taman Sri Segambut,-,-,
293,no,,,,,,,,,,,,
294,no,,,,,,,,,,,,
295,yes,UNION DEVELOPMENT SDN BHD.,-,,-,-,Aktif,1,295-1,Seri Gembira ,-,-,
296,no,,,,,,,,,,,,
297,no,,,,,,,,,,,,
298,no,,,,,,,,,,,,
299,yes,PERAK CONSTRUCTION SDN. BHD.,-,,-,-,Aktif,1,299-1,Taman Pusing (p1),-,-,
300,no,,,,,,,,,,,,
301,no,,,,,,,,,,,,
302,no,,,,,,,,,,,,
303,yes,BUKIT GAMBIR COMPANY SDN. BERHAD,maharani@binaik.com.my,069519891,"No. 23, Tingkat 1, , Jalan Majidi, 84000, Muar, Johor","No.10,1st Flr, Jalan Arab, 84000, Muar, Johor",Aktif,4,303-1,Taman Melor Jaya Fasa 1,Johor,Tangkak,
304,no,,,,,,,,,,,,
305,no,,,,,,,,,,,,
306,no,,,,,,,,,,,,
307,no,,,,,,,,,,,,
308,no,,,,,,,,,,,,
309,no,,,,,,,,,,,,
310,no,,,,,,,,,,,,
311,no,,,,,,,,,,,,
312,no,,,,,,,,,,,,
313,no,,,,,,,,,,,,
314,no,,,,,,,,,,,,
315,no,,,,,,,,,,,,
316,no,,,,,,,,,,,,
317,no,,,,,,,,,,,,
318,yes,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,mdzulkarnain.ahmad@gmail.com,0380829542,"Eight Kinrara - Block B, Jalan Bk 5a/1, 47180, Petaling , Selangor","S P Setia Berhad Corporate Hq,, No. 12, Persiaran Setia Dagang,, Setia Alam, Seksyen U13,, 40170, Klang, Selangor",Aktif,24,318-1,Taman Bukit Cheras,-,-,
319,yes,HO SHEN CONSTRUCTION (M) SDN. BHD.,-,,-,-,Aktif,2,319-1,Taman Pelangi Ii,-,-,
320,no,,,,,,,,,,,,
321,no,,,,,,,,,,,,
322,no,,,,,,,,,,,,
323,no,,,,,,,,,,,,
324,no,,,,,,,,,,,,
325,no,,,,,,,,,,,,
326,no,,,,,,,,,,,,
327,no,,,,,,,,,,,,
328,no,,,,,,,,,,,,
329,no,,,,,,,,,,,,
330,no,,,,,,,,,,,,
331,no,,,,,,,,,,,,
332,no,,,,,,,,,,,,
333,no,,,,,,,,,,,,
334,no,,,,,,,,,,,,
335,no,,,,,,,,,,,,
336,no,,,,,,,,,,,,
337,no,,,,,,,,,,,,
338,no,,,,,,,,,,,,
339,no,,,,,,,,,,,,
340,no,,,,,,,,,,,,
341,no,,,,,,,,,,,,
342,no,,,,,,,,,,,,
343,no,,,,,,,,,,,,
344,no,,,,,,,,,,,,
345,no,,,,,,,,,,,,
346,no,,,,,,,,,,,,
347,no,,,,,,,,,,,,
348,yes,NAM SENG HOUSING DEVELOPMENT SDN. BHD.,-,06-2823844,"No. 40 Jalan Tun Perak, 75300, Melaka Tengah, Melaka","11-k (1st Floor) Jalan Tun Perak, 75300, Melaka Tengah, Melaka",Aktif,2,348-1,Taman Bacang,-,-,
349,no,,,,,,,,,,,,
350,no,,,,,,,,,,,,
351,yes,KLUANG DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,3,351-1,Taman Sri Tengah,-,-,
352,no,,,,,,,,,,,,
353,no,,,,,,,,,,,,
354,yes,TAI LEE CREDIT CORPORATION SDN. BHD.,-,,-,-,Aktif,1,354-1,Taman Mas Taiping,-,-,
355,yes,KUAN WOH SDN. BERHAD,-,05-2538898,"No. 2, Jalan Bendahara, 31650, Kinta, Perak","No.11, Jalan Lau Ek Ching, 30300, Kinta, Perak",Aktif,2,355-1,Taman Kuan Woh,-,-,
356,no,,,,,,,,,,,,
357,yes,CITY INVESTMENT SDN. BHD.,-,,-,-,Aktif,3,357-1,Ast Ii,-,-,
358,no,,,,,,,,,,,,
359,no,,,,,,,,,,,,
360,no,,,,,,,,,,,,
361,no,,,,,,,,,,,,
362,yes,DAIMAN DEVELOPMENT BHD.,daiman@daiman.com.my,072255888,"Level 32 Menara Landmark, No. 12 Jalan Ngee Heng, Ibrahim International Business District, 80888, Johor Bahru, Johor","Suite 5.11 & 5.12,, 5th Floor, Menara Tjb,, No. 9, Jalan Syed Mohd. Mufti,, 80888, Johor Bahru, Johor",Aktif,14,362-1,Taman Johor Jaya Vila Pesona,Johor,Johor Bahru,
363,no,,,,,,,,,,,,
364,no,,,,,,,,,,,,
365,no,,,,,,,,,,,,
366,no,,,,,,,,,,,,
367,no,,,,,,,,,,,,
368,no,,,,,,,,,,,,
369,no,,,,,,,,,,,,
370,no,,,,,,,,,,,,
371,no,,,,,,,,,,,,
372,no,,,,,,,,,,,,
373,no,,,,,,,,,,,,
374,no,,,,,,,,,,,,
375,no,,,,,,,,,,,,
376,no,,,,,,,,,,,,
377,no,,,,,,,,,,,,
378,no,,,,,,,,,,,,
379,no,,,,,,,,,,,,
380,no,,,,,,,,,,,,
381,no,,,,,,,,,,,,
382,no,,,,,,,,,,,,
383,no,,,,,,,,,,,,
384,no,,,,,,,,,,,,
385,no,,,,,,,,,,,,
386,no,,,,,,,,,,,,
387,no,,,,,,,,,,,,
388,no,,,,,,,,,,,,
389,no,,,,,,,,,,,,
390,no,,,,,,,,,,,,
391,no,,,,,,,,,,,,
392,no,,,,,,,,,,,,
393,no,,,,,,,,,,,,
394,no,,,,,,,,,,,,
395,no,,,,,,,,,,,,
396,no,,,,,,,,,,,,
397,no,,,,,,,,,,,,
398,no,,,,,,,,,,,,
399,no,,,,,,,,,,,,
400,no,,,,,,,,,,,,
401,no,,,,,,,,,,,,
402,no,,,,,,,,,,,,
403,no,,,,,,,,,,,,
404,no,,,,,,,,,,,,
405,no,,,,,,,,,,,,
406,no,,,,,,,,,,,,
407,no,,,,,,,,,,,,
408,yes,BAN SENG HUAT SDN. BHD ,-,,-,-,Aktif,5,408-1,Xxx,-,-,
409,no,,,,,,,,,,,,
410,no,,,,,,,,,,,,
411,no,,,,,,,,,,,,
412,no,,,,,,,,,,,,
413,no,,,,,,,,,,,,
414,no,,,,,,,,,,,,
415,no,,,,,,,,,,,,
416,no,,,,,,,,,,,,
417,no,,,,,,,,,,,,
418,no,,,,,,,,,,,,
419,no,,,,,,,,,,,,
420,no,,,,,,,,,,,,
421,no,,,,,,,,,,,,
422,no,,,,,,,,,,,,
423,no,,,,,,,,,,,,
424,no,,,,,,,,,,,,
425,yes,AUN HUAT & BROTHERS SDN. BHD,-,,-,-,Aktif,3,425-1,Taman Anda ,-,-,
426,no,,,,,,,,,,,,
427,no,,,,,,,,,,,,
428,no,,,,,,,,,,,,
429,no,,,,,,,,,,,,
430,no,,,,,,,,,,,,
431,no,,,,,,,,,,,,
432,no,,,,,,,,,,,,
433,no,,,,,,,,,,,,
434,no,,,,,,,,,,,,
435,no,,,,,,,,,,,,
436,no,,,,,,,,,,,,
437,no,,,,,,,,,,,,
438,no,,,,,,,,,,,,
439,yes,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,-,,"A7,1st Floor,jalan Tun Ismail2, Sri Dagangan 2,, 25000, Kuantan, Pahang","No.13,tkt.2,jln.pasar Baru, 25000, Kuantan, Pahang",Aktif,26,439-1,Taman Peninsular Jaya,-,-,
440,no,,,,,,,,,,,,
441,no,,,,,,,,,,,,
442,no,,,,,,,,,,,,
443,no,,,,,,,,,,,,
444,no,,,,,,,,,,,,
445,no,,,,,,,,,,,,
446,no,,,,,,,,,,,,
447,no,,,,,,,,,,,,
448,no,,,,,,,,,,,,
449,no,,,,,,,,,,,,
450,no,,,,,,,,,,,,
451,no,,,,,,,,,,,,
452,no,,,,,,,,,,,,
453,no,,,,,,,,,,,,
454,no,,,,,,,,,,,,
455,no,,,,,,,,,,,,
456,no,,,,,,,,,,,,
457,no,,,,,,,,,,,,
458,no,,,,,,,,,,,,
459,no,,,,,,,,,,,,
460,no,,,,,,,,,,,,
461,no,,,,,,,,,,,,
462,yes,KAM SENG CO. (M) SDN. BHD.,chc_123@streamyx.com,05-3661378,"3, Jalan Kemajuan, 31000, Kinta, Perak","3, Jalan Kemajuan, 31000, Kinta, Perak",Aktif,5,462-1,Taman Mewah,-,-,
463,no,,,,,,,,,,,,
464,no,,,,,,,,,,,,
465,no,,,,,,,,,,,,
466,no,,,,,,,,,,,,
467,no,,,,,,,,,,,,
468,no,,,,,,,,,,,,
469,no,,,,,,,,,,,,
470,no,,,,,,,,,,,,
471,no,,,,,,,,,,,,
472,no,,,,,,,,,,,,
473,yes,SOUTH EAST ASIA LAND DEVT. (M) BHD.,-,,-,-,Aktif,1,473-1,Taman Kotamas,-,-,
474,no,,,,,,,,,,,,
475,no,,,,,,,,,,,,
476,no,,,,,,,,,,,,
477,no,,,,,,,,,,,,
478,no,,,,,,,,,,,,
479,no,,,,,,,,,,,,
480,no,,,,,,,,,,,,
481,yes,GIM HWA REALTY SDN. BHD.,-,,-,-,Aktif,4,481-1,Taman Intan (jalan Manggis),-,-,
482,no,,,,,,,,,,,,
483,no,,,,,,,,,,,,
484,no,,,,,,,,,,,,
485,no,,,,,,,,,,,,
486,no,,,,,,,,,,,,
487,no,,,,,,,,,,,,
488,no,,,,,,,,,,,,
489,no,,,,,,,,,,,,
490,yes,WIJAYA DEVELOPMENT SDN. BHD.,WIJAYA72@STREAMYX.COM,07-9251888,"No. 58 & 60, Jln. Tenang, 85300, Segamat, Johor","Unit 10-02(a), Level 10, Menara Tjb, No. 9, Jln. Syed Mohd Mufti, 80000, Johor Bahru, Johor",Aktif,26,490-1,"Taman Srijaya, Sagil",-,-,
491,no,,,,,,,,,,,,
492,no,,,,,,,,,,,,
493,no,,,,,,,,,,,,
494,yes,SYARIKAT MALURI SDN. BHD.,-,,-,-,Aktif,2,494-1,Taman Maluri,-,-,
495,no,,,,,,,,,,,,
496,no,,,,,,,,,,,,
497,no,,,,,,,,,,,,
498,no,,,,,,,,,,,,
499,no,,,,,,,,,,,,
500,no,,,,,,,,,,,,
501,no,,,,,,,,,,,,
