week,tracker,code,group_idx,unit_type,units,sold
2026-08-09,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,59
2026-08-09,status13,13262-2,0,Pangsapuri Suite,747,36
2026-08-09,status13,13262-2,1,Pangsapuri Suite,797,285
2026-08-09,status13,30590-2,0,Soho,996,113
2026-08-09,status13,5911-33,0,Pangsapuri Servis,686,455
2026-08-09,status13,5911-33,1,Pangsapuri Servis,932,531
2026-08-09,status13,30363-2,0,Pangsapuri Suite,1218,1119
2026-08-09,status13,30821-1,0,Pangsapuri Suite,494,241
2026-08-09,status13,30821-1,1,Pangsapuri Suite,494,250
2026-08-09,status13,30366-1,0,Pangsapuri Servis,482,466
2026-08-09,status13,13074-4,0,Pangsapuri Servis,299,235
2026-08-09,status13,8824-5,0,Pangsapuri Servis,641,157
2026-08-09,status13,8824-5,1,Pangsapuri Servis,655,452
2026-08-09,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-09,status13,20253-3,1,Rumah Pangsa/Kondo,743,550
2026-08-09,status13,30876-1,0,Rumah Pangsa/Kondo,551,124
2026-08-09,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-09,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-10,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-10,seputeh,32-16,1,Rumah Pangsa/Kondo,13,5
2026-08-10,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-10,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-10,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-10,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-10,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-10,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-10,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-10,seputeh,30216-2,0,Pangsapuri Servis,490,44
2026-08-10,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-10,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-10,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,212
2026-08-10,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,59
2026-08-10,status13,13262-2,0,Pangsapuri Suite,747,36
2026-08-10,status13,13262-2,1,Pangsapuri Suite,797,285
2026-08-10,status13,30590-2,0,Soho,996,113
2026-08-10,status13,5911-33,0,Pangsapuri Servis,686,455
2026-08-10,status13,5911-33,1,Pangsapuri Servis,932,531
2026-08-10,status13,30363-2,0,Pangsapuri Suite,1218,1119
2026-08-10,status13,30821-1,0,Pangsapuri Suite,494,241
2026-08-10,status13,30821-1,1,Pangsapuri Suite,494,250
2026-08-10,status13,30366-1,0,Pangsapuri Servis,482,466
2026-08-10,status13,13074-4,0,Pangsapuri Servis,299,235
2026-08-10,status13,8824-5,0,Pangsapuri Servis,641,158
2026-08-10,status13,8824-5,1,Pangsapuri Servis,655,452
2026-08-10,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-10,status13,20253-3,1,Rumah Pangsa/Kondo,743,550
2026-08-10,status13,30876-1,0,Rumah Pangsa/Kondo,551,124
2026-08-10,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-10,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-11,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-11,seputeh,32-16,1,Rumah Pangsa/Kondo,13,5
2026-08-11,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-11,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-11,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-11,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-11,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-11,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-11,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-11,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-11,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-11,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-11,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,220
2026-08-11,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,64
2026-08-11,status13,31202-1,0,Pangsapuri Suite,680,94
2026-08-11,status13,31202-1,1,Pangsapuri Suite,630,80
2026-08-11,status13,13262-2,0,Pangsapuri Suite,747,36
2026-08-11,status13,13262-2,1,Pangsapuri Suite,797,290
2026-08-11,status13,30590-2,0,Soho,996,116
2026-08-11,status13,5911-33,0,Pangsapuri Servis,686,457
2026-08-11,status13,5911-33,1,Pangsapuri Servis,932,534
2026-08-11,status13,30363-2,0,Pangsapuri Suite,1218,1120
2026-08-11,status13,30821-1,0,Pangsapuri Suite,494,243
2026-08-11,status13,30821-1,1,Pangsapuri Suite,494,251
2026-08-11,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-11,status13,13074-4,0,Pangsapuri Servis,299,235
2026-08-11,status13,8824-5,0,Pangsapuri Servis,641,160
2026-08-11,status13,8824-5,1,Pangsapuri Servis,655,453
2026-08-11,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-11,status13,20253-3,1,Rumah Pangsa/Kondo,743,552
2026-08-11,status13,30876-1,0,Rumah Pangsa/Kondo,551,123
2026-08-11,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-11,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-12,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-12,seputeh,32-16,1,Rumah Pangsa/Kondo,13,5
2026-08-12,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-12,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-12,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-12,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-12,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-12,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-12,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-12,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-12,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-12,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-12,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,222
2026-08-12,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,64
2026-08-12,status13,31202-1,0,Pangsapuri Suite,680,94
2026-08-12,status13,31202-1,1,Pangsapuri Suite,630,80
2026-08-12,status13,13262-2,0,Pangsapuri Suite,747,37
2026-08-12,status13,13262-2,1,Pangsapuri Suite,797,290
2026-08-12,status13,30590-2,0,Soho,996,116
2026-08-12,status13,5911-33,0,Pangsapuri Servis,686,457
2026-08-12,status13,5911-33,1,Pangsapuri Servis,932,535
2026-08-12,status13,30363-2,0,Pangsapuri Suite,1218,1121
2026-08-12,status13,30821-1,0,Pangsapuri Suite,494,243
2026-08-12,status13,30821-1,1,Pangsapuri Suite,494,252
2026-08-12,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-12,status13,13074-4,0,Pangsapuri Servis,299,236
2026-08-12,status13,8824-5,0,Pangsapuri Servis,641,160
2026-08-12,status13,8824-5,1,Pangsapuri Servis,655,453
2026-08-12,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-12,status13,20253-3,1,Rumah Pangsa/Kondo,743,552
2026-08-12,status13,30876-1,0,Rumah Pangsa/Kondo,551,123
2026-08-12,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-12,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-12,johor,835-14,0,Pangsapuri Servis,715,296
2026-08-12,johor,30946-1,0,Pangsapuri Servis,1950,937
2026-08-12,johor,14523-4,0,Pangsapuri Servis,416,47
2026-08-12,johor,30635-1,0,Pangsapuri Servis,539,326
2026-08-12,johor,30635-1,1,Pangsapuri Servis,539,340
2026-08-12,johor,30635-1,2,Pangsapuri Servis,539,212
2026-08-12,johor,30635-1,3,Pangsapuri Servis,539,174
2026-08-12,johor,31007-1,0,Pangsapuri Servis,848,845
2026-08-12,johor,31100-1,0,Pangsapuri Servis,1527,455
2026-08-12,johor,31100-1,1,Pangsapuri Servis,1257,515
2026-08-12,johor,31100-1,2,Pangsapuri Servis,908,441
2026-08-12,johor,31100-1,3,Pangsapuri Servis,833,0
2026-08-12,johor,31074-1,0,Pangsapuri Servis,858,401
2026-08-12,johor,31074-1,1,Pangsapuri Servis,858,365
2026-08-12,johor,31074-1,2,Pangsapuri Servis,1027,225
2026-08-12,johor,9600-6,0,Pangsapuri Servis,843,485
2026-08-12,johor,9600-6,1,Pangsapuri Servis,890,242
2026-08-12,johor,31031-1,0,Pangsapuri Servis,815,725
2026-08-12,johor,31031-1,1,Pangsapuri Servis,808,666
2026-08-12,johor,30828-3,0,Pangsapuri Servis,996,901
2026-08-12,johor,13531-2,0,Pangsapuri Servis,824,710
2026-08-12,johor,31034-1,0,Soho,540,294
2026-08-12,johor,31034-1,1,Soho,472,90
2026-08-12,johor,31149-1,0,Pangsapuri Servis,637,207
2026-08-12,johor,31149-1,1,Pangsapuri Servis,637,79
2026-08-13,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-13,seputeh,32-16,1,Rumah Pangsa/Kondo,13,5
2026-08-13,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-13,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-13,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-13,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-13,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-13,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-13,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-13,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-13,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-13,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-13,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,227
2026-08-13,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,66
2026-08-13,status13,31202-1,0,Pangsapuri Suite,680,95
2026-08-13,status13,31202-1,1,Pangsapuri Suite,630,80
2026-08-13,status13,13262-2,0,Pangsapuri Suite,747,37
2026-08-13,status13,13262-2,1,Pangsapuri Suite,797,291
2026-08-13,status13,30590-2,0,Soho,996,116
2026-08-13,status13,5911-33,0,Pangsapuri Servis,686,456
2026-08-13,status13,5911-33,1,Pangsapuri Servis,932,537
2026-08-13,status13,30363-2,0,Pangsapuri Suite,1218,1123
2026-08-13,status13,30821-1,0,Pangsapuri Suite,494,245
2026-08-13,status13,30821-1,1,Pangsapuri Suite,494,253
2026-08-13,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-13,status13,13074-4,0,Pangsapuri Servis,299,236
2026-08-13,status13,8824-5,0,Pangsapuri Servis,641,162
2026-08-13,status13,8824-5,1,Pangsapuri Servis,655,452
2026-08-13,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-13,status13,20253-3,1,Rumah Pangsa/Kondo,743,552
2026-08-13,status13,30876-1,0,Rumah Pangsa/Kondo,551,124
2026-08-13,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-13,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-13,johor,835-14,0,Pangsapuri Servis,715,296
2026-08-13,johor,30946-1,0,Pangsapuri Servis,1950,938
2026-08-13,johor,14523-4,0,Pangsapuri Servis,416,47
2026-08-13,johor,30635-1,0,Pangsapuri Servis,539,326
2026-08-13,johor,30635-1,1,Pangsapuri Servis,539,340
2026-08-13,johor,30635-1,2,Pangsapuri Servis,539,212
2026-08-13,johor,30635-1,3,Pangsapuri Servis,539,174
2026-08-13,johor,31007-1,0,Pangsapuri Servis,848,845
2026-08-13,johor,31100-1,0,Pangsapuri Servis,1527,455
2026-08-13,johor,31100-1,1,Pangsapuri Servis,1257,515
2026-08-13,johor,31100-1,2,Pangsapuri Servis,908,443
2026-08-13,johor,31100-1,3,Pangsapuri Servis,833,0
2026-08-13,johor,31074-1,0,Pangsapuri Servis,858,401
2026-08-13,johor,31074-1,1,Pangsapuri Servis,858,365
2026-08-13,johor,31074-1,2,Pangsapuri Servis,1027,224
2026-08-13,johor,9600-6,0,Pangsapuri Servis,843,486
2026-08-13,johor,9600-6,1,Pangsapuri Servis,890,242
2026-08-13,johor,31031-1,0,Pangsapuri Servis,815,725
2026-08-13,johor,31031-1,1,Pangsapuri Servis,808,666
2026-08-13,johor,30828-3,0,Pangsapuri Servis,996,902
2026-08-13,johor,13531-2,0,Pangsapuri Servis,824,711
2026-08-13,johor,31034-1,0,Soho,540,294
2026-08-13,johor,31034-1,1,Soho,472,90
2026-08-13,johor,31149-1,0,Pangsapuri Servis,637,209
2026-08-13,johor,31149-1,1,Pangsapuri Servis,637,79
2026-08-14,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-14,seputeh,32-16,1,Rumah Pangsa/Kondo,13,6
2026-08-14,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-14,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-14,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-14,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-14,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-14,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-14,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-14,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-14,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-14,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-14,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,233
2026-08-14,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,73
2026-08-14,status13,31202-1,0,Pangsapuri Suite,680,96
2026-08-14,status13,31202-1,1,Pangsapuri Suite,630,81
2026-08-14,status13,13262-2,0,Pangsapuri Suite,747,39
2026-08-14,status13,13262-2,1,Pangsapuri Suite,797,295
2026-08-14,status13,30590-2,0,Soho,996,119
2026-08-14,status13,5911-33,0,Pangsapuri Servis,686,459
2026-08-14,status13,5911-33,1,Pangsapuri Servis,932,537
2026-08-14,status13,30363-2,0,Pangsapuri Suite,1218,1125
2026-08-14,status13,30821-1,0,Pangsapuri Suite,494,246
2026-08-14,status13,30821-1,1,Pangsapuri Suite,494,253
2026-08-14,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-14,status13,13074-4,0,Pangsapuri Servis,299,236
2026-08-14,status13,8824-5,0,Pangsapuri Servis,641,165
2026-08-14,status13,8824-5,1,Pangsapuri Servis,655,453
2026-08-14,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-14,status13,20253-3,1,Rumah Pangsa/Kondo,743,552
2026-08-14,status13,30876-1,0,Rumah Pangsa/Kondo,551,125
2026-08-14,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-14,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-14,johor,835-14,0,Pangsapuri Servis,715,297
2026-08-14,johor,30946-1,0,Pangsapuri Servis,1950,942
2026-08-14,johor,14523-4,0,Pangsapuri Servis,416,47
2026-08-14,johor,30635-1,0,Pangsapuri Servis,539,326
2026-08-14,johor,30635-1,1,Pangsapuri Servis,539,340
2026-08-14,johor,30635-1,2,Pangsapuri Servis,539,212
2026-08-14,johor,30635-1,3,Pangsapuri Servis,539,174
2026-08-14,johor,31007-1,0,Pangsapuri Servis,848,845
2026-08-14,johor,31100-1,0,Pangsapuri Servis,1527,456
2026-08-14,johor,31100-1,1,Pangsapuri Servis,1257,515
2026-08-14,johor,31100-1,2,Pangsapuri Servis,908,446
2026-08-14,johor,31100-1,3,Pangsapuri Servis,833,0
2026-08-14,johor,31074-1,0,Pangsapuri Servis,858,401
2026-08-14,johor,31074-1,1,Pangsapuri Servis,858,365
2026-08-14,johor,31074-1,2,Pangsapuri Servis,1027,224
2026-08-14,johor,9600-6,0,Pangsapuri Servis,843,488
2026-08-14,johor,9600-6,1,Pangsapuri Servis,890,243
2026-08-14,johor,31031-1,0,Pangsapuri Servis,815,725
2026-08-14,johor,31031-1,1,Pangsapuri Servis,808,666
2026-08-14,johor,30828-3,0,Pangsapuri Servis,996,902
2026-08-14,johor,13531-2,0,Pangsapuri Servis,824,714
2026-08-14,johor,31034-1,0,Soho,540,294
2026-08-14,johor,31034-1,1,Soho,472,91
2026-08-14,johor,31149-1,0,Pangsapuri Servis,637,209
2026-08-14,johor,31149-1,1,Pangsapuri Servis,637,82
2026-08-15,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-15,seputeh,32-16,1,Rumah Pangsa/Kondo,13,6
2026-08-15,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-15,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-15,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-15,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-15,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-15,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-15,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-15,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-15,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-15,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-15,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,237
2026-08-15,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,74
2026-08-15,status13,31202-1,0,Pangsapuri Suite,680,96
2026-08-15,status13,31202-1,1,Pangsapuri Suite,630,81
2026-08-15,status13,13262-2,0,Pangsapuri Suite,747,40
2026-08-15,status13,13262-2,1,Pangsapuri Suite,797,295
2026-08-15,status13,30590-2,0,Soho,996,119
2026-08-15,status13,5911-33,0,Pangsapuri Servis,686,460
2026-08-15,status13,5911-33,1,Pangsapuri Servis,932,538
2026-08-15,status13,30363-2,0,Pangsapuri Suite,1218,1125
2026-08-15,status13,30821-1,0,Pangsapuri Suite,494,248
2026-08-15,status13,30821-1,1,Pangsapuri Suite,494,254
2026-08-15,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-15,status13,13074-4,0,Pangsapuri Servis,299,236
2026-08-15,status13,8824-5,0,Pangsapuri Servis,641,167
2026-08-15,status13,8824-5,1,Pangsapuri Servis,655,454
2026-08-15,status13,20253-3,0,Rumah Pangsa/Kondo,757,591
2026-08-15,status13,20253-3,1,Rumah Pangsa/Kondo,743,554
2026-08-15,status13,30876-1,0,Rumah Pangsa/Kondo,551,126
2026-08-15,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-15,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-15,johor,835-14,0,Pangsapuri Servis,715,298
2026-08-15,johor,30946-1,0,Pangsapuri Servis,1950,950
2026-08-15,johor,14523-4,0,Pangsapuri Servis,416,47
2026-08-15,johor,30635-1,0,Pangsapuri Servis,539,326
2026-08-15,johor,30635-1,1,Pangsapuri Servis,539,340
2026-08-15,johor,30635-1,2,Pangsapuri Servis,539,213
2026-08-15,johor,30635-1,3,Pangsapuri Servis,539,175
2026-08-15,johor,31007-1,0,Pangsapuri Servis,848,845
2026-08-15,johor,31100-1,0,Pangsapuri Servis,1527,456
2026-08-15,johor,31100-1,1,Pangsapuri Servis,1257,515
2026-08-15,johor,31100-1,2,Pangsapuri Servis,908,447
2026-08-15,johor,31100-1,3,Pangsapuri Servis,833,0
2026-08-15,johor,31074-1,0,Pangsapuri Servis,858,401
2026-08-15,johor,31074-1,1,Pangsapuri Servis,858,365
2026-08-15,johor,31074-1,2,Pangsapuri Servis,1027,226
2026-08-15,johor,9600-6,0,Pangsapuri Servis,843,491
2026-08-15,johor,9600-6,1,Pangsapuri Servis,890,246
2026-08-15,johor,31031-1,0,Pangsapuri Servis,815,725
2026-08-15,johor,31031-1,1,Pangsapuri Servis,808,666
2026-08-15,johor,30828-3,0,Pangsapuri Servis,996,902
2026-08-15,johor,13531-2,0,Pangsapuri Servis,824,715
2026-08-15,johor,31034-1,0,Soho,540,294
2026-08-15,johor,31034-1,1,Soho,472,91
2026-08-15,johor,31149-1,0,Pangsapuri Servis,637,210
2026-08-15,johor,31149-1,1,Pangsapuri Servis,637,82
2026-08-16,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-16,seputeh,32-16,1,Rumah Pangsa/Kondo,13,6
2026-08-16,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-16,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-16,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-16,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-16,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-16,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-16,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-16,seputeh,30216-2,0,Pangsapuri Servis,490,45
2026-08-16,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-16,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-16,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,237
2026-08-16,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,74
2026-08-16,status13,31202-1,0,Pangsapuri Suite,680,96
2026-08-16,status13,31202-1,1,Pangsapuri Suite,630,81
2026-08-16,status13,13262-2,0,Pangsapuri Suite,747,40
2026-08-16,status13,13262-2,1,Pangsapuri Suite,797,295
2026-08-16,status13,30590-2,0,Soho,996,119
2026-08-16,status13,5911-33,0,Pangsapuri Servis,686,460
2026-08-16,status13,5911-33,1,Pangsapuri Servis,932,538
2026-08-16,status13,30363-2,0,Pangsapuri Suite,1218,1125
2026-08-16,status13,30821-1,0,Pangsapuri Suite,494,248
2026-08-16,status13,30821-1,1,Pangsapuri Suite,494,254
2026-08-16,status13,30366-1,0,Pangsapuri Servis,482,467
2026-08-16,status13,13074-4,0,Pangsapuri Servis,299,236
2026-08-16,status13,8824-5,0,Pangsapuri Servis,641,167
2026-08-16,status13,8824-5,1,Pangsapuri Servis,655,454
2026-08-16,status13,20253-3,0,Rumah Pangsa/Kondo,757,591
2026-08-16,status13,20253-3,1,Rumah Pangsa/Kondo,743,554
2026-08-16,status13,30876-1,0,Rumah Pangsa/Kondo,551,126
2026-08-16,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-16,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-16,status13,31332-1,0,Pangsapuri Servis,415,88
2026-08-16,status13,31332-1,1,Pangsapuri Servis,415,51
2026-08-16,johor,835-14,0,Pangsapuri Servis,715,298
2026-08-16,johor,30946-1,0,Pangsapuri Servis,1950,950
2026-08-16,johor,14523-4,0,Pangsapuri Servis,416,47
2026-08-16,johor,30635-1,0,Pangsapuri Servis,539,326
2026-08-16,johor,30635-1,1,Pangsapuri Servis,539,340
2026-08-16,johor,30635-1,2,Pangsapuri Servis,539,213
2026-08-16,johor,30635-1,3,Pangsapuri Servis,539,175
2026-08-16,johor,31007-1,0,Pangsapuri Servis,848,845
2026-08-16,johor,31100-1,0,Pangsapuri Servis,1527,456
2026-08-16,johor,31100-1,1,Pangsapuri Servis,1257,515
2026-08-16,johor,31100-1,2,Pangsapuri Servis,908,447
2026-08-16,johor,31100-1,3,Pangsapuri Servis,833,0
2026-08-16,johor,31074-1,0,Pangsapuri Servis,858,401
2026-08-16,johor,31074-1,1,Pangsapuri Servis,858,365
2026-08-16,johor,31074-1,2,Pangsapuri Servis,1027,226
2026-08-16,johor,9600-6,0,Pangsapuri Servis,843,491
2026-08-16,johor,9600-6,1,Pangsapuri Servis,890,246
2026-08-16,johor,31031-1,0,Pangsapuri Servis,815,725
2026-08-16,johor,31031-1,1,Pangsapuri Servis,808,666
2026-08-16,johor,30828-3,0,Pangsapuri Servis,996,902
